unique_id	name	include	category	group	url	description	question_rootless	question_fully_unprivileged_workflow	question_gpu_support	question_x11	question_dockerfile	question_infiniband	question_kubernetes	question_hpc_compatibility	question_orchestration	question_oci_image_compatible	question_oci_distribution_push	question_oci_distribution_pull	question_oras_push	question_encryption_signing	question_oras_pull	question_open_source	question_commercial_backing	question_commercial_registry
containers_docker	Docker	yes	containers	Docker Inc.	https://docs.docker.com/	Docker is a set of platform as a service products that use OS-level virtualization to deliver software in packages called containers. Containers are isolated from one another and bundle their own software, libraries and configuration files; they can communicate with each other through well-defined channels.	no	no	no	no	yes	no	yes	no	yes	yes	yes	yes	no	yes	no	yes	yes	no
containers_charliecloud	Charliecloud	yes	containers	Los Alamos National Lab	https://hpc.github.io/charliecloud/	Charliecloud provides user-defined software stacks (UDSS) for high-performance computing (HPC) centers.	yes	yes	yes	yes	yes	yes	no	yes	no	no	no	yes	no	no	no	yes	no	no
containers_shifter	Shifter	yes	containers	NERSC	https://www.nersc.gov/research-and-development/user-defined-images/	Shifter enables container images for HPC, including a 1) a utility that typically runs on the compute node that creates the run time environment for the application 2) an image gateway service that pulls images from a registry and repacks it in a format suitable for the HPC system (typically squashfs) 3) and example scripts/plugins to integrate Shifter with various batch scheduler systems.	yes	no	yes	no	yes	no	no	yes	no	no	no	yes	no	no	no	yes	no	no
containers_singularity	Singularity	yes	containers	Sylabs Inc. and HPCng	https://sylabs.io/docs/	Singularity is a free, cross-platform and open-source computer program that performs operating-system-level virtualization also known as containerization.	yes	yes	yes	yes	no	yes	no	yes	yes	yes	no	yes	yes	yes	yes	yes	yes	no
containers_podman	Podman	yes	containers	RedHat	https://podman.io/	Podman is a daemonless container engine for developing, managing, and running OCI Containers on your Linux System. Containers can either be run as root or in rootless mode. Simply put: alias docker=podman.	yes	yes	no	no	yes	no	yes	yes	yes	yes	yes	yes	no	no	no	yes	yes	yes
